92,25,69,0
33,5,55,0
33,22,51,0
26,58,69,0
69,81,6,0
1,92,71,0
6,69,50,0
89,55,76,0
2,49,47,0
94,24,54,0
66,69,81,0
69,56,62,0
23,26,25,0
12,8,34,0
68,70,39,0
21,71,65,0
18,38,49,0
72,65,8,0
89,10,31,0
6,49,62,0
23,34,70,0
72,72,38,0
70,97,8,0
18,78,18,0
60,73,35,0
53,64,74,0
39,9,29,0
86,40,20,0
53,56,21,0
87,26,2,0
77,17,25,0
44,49,45,0
22,52,48,0
40,97,67,0
45,24,53,0
97,72,71,0
51,31,59,0
23,94,77,0
58,1,26,0
91,64,37,0
89,53,4,0
21,52,26,0
63,61,55,0
52,38,84,0
33,67,84,0
13,96,82,0
64,78,77,0
13,83,41,0
73,57,45,0
15,35,95,0
66,41,94,0
54,57,82,0
77,69,68,0
72,37,94,0
59,5,69,0
32,19,80,0
52,15,49,0
8,1,63,0
49,98,70,0
84,44,68,0
57,61,38,0
33,38,36,0
84,45,74,0
14,61,76,0
67,8,13,0
8,42,86,0
60,29,40,0
69,7,75,0
11,91,41,0
94,88,98,0
90,76,62,0
60,38,35,0
23,53,98,0
15,94,12,0
69,90,94,0
24,87,83,0
58,13,96,0
88,72,31,0
25,96,86,0
83,69,95,0
64,14,69,0
73,95,62,0
